resume_id,resume_text,resume_skills_norm,resume_titles_norm,resume_years_experience
10_f15bc8,"devops engineer, gaming engineer. devops engineer with 0.63 years of experience building scalable systems. worked on real-time analytics. strong background in azure, java, spring, tensorflow, kafka. delivered high-impact solutions using modern engineering practices. technical skills: azure, java, spring, tensorflow, kafka, django, terraform, python, go. education: b.s. information technology, software engineering. expertise includes: developed algorithm optimization, data pipeline orchestration, front-end and back-end integration.","['azure', 'java', 'spring', 'tensorflow', 'kafka', 'django', 'terraform', 'python', 'go']","['devops engineer', 'gaming engineer']",0.63
11_c97345,"backend developer, cloud platforms developer. backend developer with 8.25 years of experience building scalable systems. worked on secure platforms. strong background in git, mongodb, linux, c++, flask. delivered high-impact solutions using modern engineering practices. technical skills: git, mongodb, linux, c++, flask, gcp, go, terraform, ci/cd, typescript. education: bachelor of science in computer science, department of mathematics. expertise includes: restful api development, microservices, system architecture design, agile methodologies, scrum.","['git', 'mongodb', 'linux', 'c++', 'flask', 'gcp', 'go', 'terraform', 'ci/cd', 'typescript']","['backend developer', 'cloud platforms developer']",8.25
12_5b5c4d,"full stack developer, fintech developer. full stack developer with 8.32 years of experience building scalable systems. worked on secure platforms. strong background in scikit-learn, tensorflow, numpy, c#, azure. delivered high-impact solutions using modern engineering practices. technical skills: scikit-learn, tensorflow, numpy, c#, azure, django, flask, terraform, postgresql, microservices. education: m.sc computer science & engineering, big data analytics. expertise includes: machine learning model training, data pipeline orchestration, cloud infrastructure provisioning.","['scikit-learn', 'tensorflow', 'numpy', 'c#', 'azure', 'django', 'flask', 'terraform', 'postgresql', 'microservices']","['full stack developer', 'fintech developer']",8.32
13_b4aad0,"cybersecurity analyst. cybersecurity analyst with 2.23 years of experience building scalable systems. worked on secure platforms. strong background in docker, graphql, azure, typescript, django. delivered high-impact solutions using modern engineering practices. technical skills: docker, graphql, azure, typescript, django, javascript, kotlin, tensorflow, ci/cd. education: m.sc computer science & engineering, big data analytics. expertise includes: managed database structures, cloud infrastructure provisioning, agile methodologies, scrum.","['docker', 'graphql', 'azure', 'typescript', 'django', 'javascript', 'kotlin', 'tensorflow', 'ci/cd']",['cybersecurity analyst'],2.23
14_165e63,"site reliability engineer, gaming engineer. site reliability engineer with 10.29 years of experience building scalable systems. worked on ml pipelines. strong background in vue, tensorflow, scikit-learn, spring, aws. delivered high-impact solutions using modern engineering practices. technical skills: vue, tensorflow, scikit-learn, spring, aws, graphql, gcp. education: master of science, artificial intelligence and data science. expertise includes: front-end and back-end integration, cloud infrastructure provisioning, machine learning model training.","['vue', 'tensorflow', 'scikit-learn', 'spring', 'aws', 'graphql', 'gcp']","['site reliability engineer', 'gaming engineer']",10.29
15_3da0cc,"cloud engineer, cloud platforms engineer. cloud engineer with 7.34 years of experience building scalable systems. worked on real-time analytics. strong background in pandas, tensorflow, python, terraform, vue. delivered high-impact solutions using modern engineering practices. technical skills: pandas, tensorflow, python, terraform, vue, gcp, react, c++. education: master of science, artificial intelligence and data science. expertise includes: front-end and back-end integration, agile methodologies, scrum, continuous integration deployment (ci/cd).","['pandas', 'tensorflow', 'python', 'terraform', 'vue', 'gcp', 'react', 'c++']","['cloud engineer', 'cloud platforms engineer']",7.34
16_e6d084,"frontend developer, e-commerce developer. frontend developer with 1.54 years of experience building scalable systems. worked on secure platforms. strong background in c#, aws, java, mongodb, pandas. delivered high-impact solutions using modern engineering practices. technical skills: c#, aws, java, mongodb, pandas, sql, react, node.js, terraform. education: bachelor of engineering, information systems. expertise includes: front-end and back-end integration, cloud infrastructure provisioning, agile methodologies, scrum.","['c#', 'aws', 'java', 'mongodb', 'pandas', 'sql', 'react', 'node.js', 'terraform']","['frontend developer', 'e-commerce developer']",1.54
17_83d229,"cloud engineer, ai systems engineer. cloud engineer with 3.59 years of experience building scalable systems. worked on secure platforms. strong background in ci/cd, react, kotlin, pytorch, microservices. delivered high-impact solutions using modern engineering practices. technical skills: ci/cd, react, kotlin, pytorch, microservices, node.js, scikit-learn, aws, gcp. education: bachelor of engineering, information systems. expertise includes: continuous integration deployment (ci/cd), developed algorithm optimization, front-end and back-end integration.","['ci/cd', 'react', 'kotlin', 'pytorch', 'microservices', 'node.js', 'scikit-learn', 'aws', 'gcp']","['cloud engineer', 'ai systems engineer']",3.59
18_cab740,"game developer, gaming developer. game developer with 7.46 years of experience building scalable systems. worked on distributed systems. strong background in graphql, microservices, pandas, flask, java. delivered high-impact solutions using modern engineering practices. technical skills: graphql, microservices, pandas, flask, java, spring, docker, kubernetes, rust. education: m.sc computer science & engineering, big data analytics. expertise includes: system architecture design, developed algorithm optimization, machine learning model training.","['graphql', 'microservices', 'pandas', 'flask', 'java', 'spring', 'docker', 'kubernetes', 'rust']","['game developer', 'gaming developer']",7.46
19_ce690f,"embedded systems engineer, healthtech engineer. embedded systems engineer with 9.22 years of experience building scalable systems. worked on cloud-native apps. strong background in microservices, rest apis, pandas, aws, django. delivered high-impact solutions using modern engineering practices. technical skills: microservices, rest apis, pandas, aws, django, javascript, c++, tensorflow. education: b.s. information technology, software engineering. expertise includes: managed database structures, continuous integration deployment (ci/cd), system architecture design.","['microservices', 'rest apis', 'pandas', 'aws', 'django', 'javascript', 'c++', 'tensorflow']","['embedded systems engineer', 'healthtech engineer']",9.22
20_5c6388,"devops engineer, gaming engineer. devops engineer with 1.39 years of experience building scalable systems. worked on secure platforms. strong background in git, java, kafka, django, azure. delivered high-impact solutions using modern engineering practices. technical skills: git, java, kafka, django, azure, javascript. education: m.sc computer science & engineering, big data analytics. expertise includes: restful api development, microservices, cloud infrastructure provisioning, managed database structures.","['git', 'java', 'kafka', 'django', 'azure', 'javascript']","['devops engineer', 'gaming engineer']",1.39
21_4da4a9,"cybersecurity analyst. cybersecurity analyst with 0.89 years of experience building scalable systems. worked on distributed systems. strong background in python, redis, sql, javascript, microservices. delivered high-impact solutions using modern engineering practices. technical skills: python, redis, sql, javascript, microservices, pytorch, kotlin, rust. education: b.s. information technology, software engineering. expertise includes: data pipeline orchestration, system architecture design, machine learning model training.","['python', 'redis', 'sql', 'javascript', 'microservices', 'pytorch', 'kotlin', 'rust']",['cybersecurity analyst'],0.89
22_b4fb3d,"cloud engineer, gaming engineer. cloud engineer with 11.19 years of experience building scalable systems. worked on distributed systems. strong background in angular, aws, c++, sql, postgresql. delivered high-impact solutions using modern engineering practices. technical skills: angular, aws, c++, sql, postgresql, java, rust, go, kafka. education: bachelor of science in computer science, department of mathematics. expertise includes: data pipeline orchestration, managed database structures, system architecture design.","['angular', 'aws', 'c++', 'sql', 'postgresql', 'java', 'rust', 'go', 'kafka']","['cloud engineer', 'gaming engineer']",11.19
23_14e908,"site reliability engineer, gaming engineer. site reliability engineer with 0.64 years of experience building scalable systems. worked on real-time analytics. strong background in rest apis, pandas, aws, numpy, postgresql. delivered high-impact solutions using modern engineering practices. technical skills: rest apis, pandas, aws, numpy, postgresql, tensorflow, spring, node.js, django, kotlin, javascript, sql. education: b.s. information technology, software engineering. expertise includes: managed database structures, data pipeline orchestration, front-end and back-end integration.","['rest apis', 'pandas', 'aws', 'numpy', 'postgresql', 'tensorflow', 'spring', 'node.js', 'django', 'kotlin', 'javascript', 'sql']","['site reliability engineer', 'gaming engineer']",0.64
24_fe1470,"blockchain developer, fintech developer. blockchain developer with 10.48 years of experience building scalable systems. worked on ml pipelines. strong background in java, rust, graphql, rest apis, ci/cd. delivered high-impact solutions using modern engineering practices. technical skills: java, rust, graphql, rest apis, ci/cd, tensorflow, numpy. education: bachelor of science in computer science, department of mathematics. expertise includes: front-end and back-end integration, system architecture design, continuous integration deployment (ci/cd).","['java', 'rust', 'graphql', 'rest apis', 'ci/cd', 'tensorflow', 'numpy']","['blockchain developer', 'fintech developer']",10.48
25_5e4f2a,"backend developer, fintech developer. backend developer with 9.9 years of experience building scalable systems. worked on distributed systems. strong background in linux, c#, angular, terraform, react. delivered high-impact solutions using modern engineering practices. technical skills: linux, c#, angular, terraform, react, kotlin, typescript, azure. education: b.s. information technology, software engineering. expertise includes: front-end and back-end integration, agile methodologies, scrum, developed algorithm optimization.","['linux', 'c#', 'angular', 'terraform', 'react', 'kotlin', 'typescript', 'azure']","['backend developer', 'fintech developer']",9.9
26_80d68c,"cybersecurity analyst. cybersecurity analyst with 8.74 years of experience building scalable systems. worked on secure platforms. strong background in javascript, docker, spring, terraform, java. delivered high-impact solutions using modern engineering practices. technical skills: javascript, docker, spring, terraform, java, rest apis. education: master of science, artificial intelligence and data science. expertise includes: continuous integration deployment (ci/cd), restful api development, microservices, system architecture design.","['javascript', 'docker', 'spring', 'terraform', 'java', 'rest apis']",['cybersecurity analyst'],8.74
27_5395f2,"machine learning engineer, ai systems engineer. machine learning engineer with 6.71 years of experience building scalable systems. worked on distributed systems. strong background in kubernetes, java, aws, angular, flask. delivered high-impact solutions using modern engineering practices. technical skills: kubernetes, java, aws, angular, flask, node.js, gcp, pandas, go, react. education: bachelor of engineering, information systems. expertise includes: machine learning model training, cloud infrastructure provisioning, system architecture design.","['kubernetes', 'java', 'aws', 'angular', 'flask', 'node.js', 'gcp', 'pandas', 'go', 'react']","['machine learning engineer', 'ai systems engineer']",6.71
28_70f31e,"embedded systems engineer, healthtech engineer. embedded systems engineer with 3.69 years of experience building scalable systems. worked on ml pipelines. strong background in swift, kubernetes, terraform, c++, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: swift, kubernetes, terraform, c++, scikit-learn, kotlin, go, tensorflow, angular, graphql. education: master of science, artificial intelligence and data science. expertise includes: developed algorithm optimization, machine learning model training, data pipeline orchestration.","['swift', 'kubernetes', 'terraform', 'c++', 'scikit-learn', 'kotlin', 'go', 'tensorflow', 'angular', 'graphql']","['embedded systems engineer', 'healthtech engineer']",3.69
29_9a592d,"blockchain developer, gaming developer. blockchain developer with 4.29 years of experience building scalable systems. worked on secure platforms. strong background in microservices, terraform, vue, rust, rest apis. delivered high-impact solutions using modern engineering practices. technical skills: microservices, terraform, vue, rust, rest apis, ci/cd. education: bachelor of engineering, information systems. expertise includes: agile methodologies, scrum, restful api development, microservices, data pipeline orchestration.","['microservices', 'terraform', 'vue', 'rust', 'rest apis', 'ci/cd']","['blockchain developer', 'gaming developer']",4.29
30_6a9954,"data scientist. data scientist with 8.78 years of experience building scalable systems. worked on cloud-native apps. strong background in terraform, linux, gcp, kubernetes, kotlin. delivered high-impact solutions using modern engineering practices. technical skills: terraform, linux, gcp, kubernetes, kotlin, pytorch. education: bachelor of science in computer science, department of mathematics. expertise includes: system architecture design, cloud infrastructure provisioning, data pipeline orchestration.","['terraform', 'linux', 'gcp', 'kubernetes', 'kotlin', 'pytorch']",['data scientist'],8.78
31_9a0dbb,"full stack developer, gaming developer. full stack developer with 1.91 years of experience building scalable systems. worked on distributed systems. strong background in python, mongodb, java, redis, spring. delivered high-impact solutions using modern engineering practices. technical skills: python, mongodb, java, redis, spring, linux. education: b.s. information technology, software engineering. expertise includes: data pipeline orchestration, system architecture design, continuous integration deployment (ci/cd).","['python', 'mongodb', 'java', 'redis', 'spring', 'linux']","['full stack developer', 'gaming developer']",1.91
32_23dbce,"backend developer, ai systems developer. backend developer with 10.28 years of experience building scalable systems. worked on ml pipelines. strong background in mongodb, spring, aws, microservices, rest apis. delivered high-impact solutions using modern engineering practices. technical skills: mongodb, spring, aws, microservices, rest apis, azure, kubernetes, vue. education: b.s. information technology, software engineering. expertise includes: data pipeline orchestration, managed database structures, system architecture design.","['mongodb', 'spring', 'aws', 'microservices', 'rest apis', 'azure', 'kubernetes', 'vue']","['backend developer', 'ai systems developer']",10.28
33_f88395,"site reliability engineer, cloud platforms engineer. site reliability engineer with 2.8 years of experience building scalable systems. worked on ml pipelines. strong background in react, pandas, rust, numpy, redis. delivered high-impact solutions using modern engineering practices. technical skills: react, pandas, rust, numpy, redis, c#. education: m.sc computer science & engineering, big data analytics. expertise includes: developed algorithm optimization, front-end and back-end integration, restful api development, microservices.","['react', 'pandas', 'rust', 'numpy', 'redis', 'c#']","['site reliability engineer', 'cloud platforms engineer']",2.8
34_03e781,"embedded systems engineer, fintech engineer. embedded systems engineer with 11.97 years of experience building scalable systems. worked on ml pipelines. strong background in postgresql, numpy, mongodb, pandas, c#. delivered high-impact solutions using modern engineering practices. technical skills: postgresql, numpy, mongodb, pandas, c#, kotlin, graphql, redis, javascript, git, flask, python. education: b.s. information technology, software engineering. expertise includes: system architecture design, developed algorithm optimization, cloud infrastructure provisioning.","['postgresql', 'numpy', 'mongodb', 'pandas', 'c#', 'kotlin', 'graphql', 'redis', 'javascript', 'git', 'flask', 'python']","['embedded systems engineer', 'fintech engineer']",11.97
35_e6c24f,"cybersecurity analyst. cybersecurity analyst with 7.52 years of experience building scalable systems. worked on cloud-native apps. strong background in docker, ci/cd, go, aws, django. delivered high-impact solutions using modern engineering practices. technical skills: docker, ci/cd, go, aws, django, kubernetes, python, pytorch, vue, react. education: b.s. information technology, software engineering. expertise includes: system architecture design, developed algorithm optimization, front-end and back-end integration.","['docker', 'ci/cd', 'go', 'aws', 'django', 'kubernetes', 'python', 'pytorch', 'vue', 'react']",['cybersecurity analyst'],7.52
36_f85b1a,"blockchain developer, fintech developer. blockchain developer with 11.62 years of experience building scalable systems. worked on real-time analytics. strong background in c++, linux, vue, kafka, rust. delivered high-impact solutions using modern engineering practices. technical skills: c++, linux, vue, kafka, rust, swift. education: m.sc computer science & engineering, big data analytics. expertise includes: managed database structures, machine learning model training, system architecture design.","['c++', 'linux', 'vue', 'kafka', 'rust', 'swift']","['blockchain developer', 'fintech developer']",11.62
37_09712f,"game developer, cloud platforms developer. game developer with 3.81 years of experience building scalable systems. worked on secure platforms. strong background in sql, pandas, ci/cd, python, go. delivered high-impact solutions using modern engineering practices. technical skills: sql, pandas, ci/cd, python, go, numpy, angular, graphql, node.js, gcp, vue. education: master of science, artificial intelligence and data science. expertise includes: machine learning model training, developed algorithm optimization, system architecture design.","['sql', 'pandas', 'ci/cd', 'python', 'go', 'numpy', 'angular', 'graphql', 'node.js', 'gcp', 'vue']","['game developer', 'cloud platforms developer']",3.81
38_dd1278,"machine learning engineer, e-commerce engineer. machine learning engineer with 2.28 years of experience building scalable systems. worked on ml pipelines. strong background in flask, django, linux, kotlin, python. delivered high-impact solutions using modern engineering practices. technical skills: flask, django, linux, kotlin, python, graphql, rust, ci/cd. education: m.sc computer science & engineering, big data analytics. expertise includes: continuous integration deployment (ci/cd), cloud infrastructure provisioning, machine learning model training.","['flask', 'django', 'linux', 'kotlin', 'python', 'graphql', 'rust', 'ci/cd']","['machine learning engineer', 'e-commerce engineer']",2.28
39_b25e1c,"backend developer, healthtech developer. backend developer with 7.95 years of experience building scalable systems. worked on real-time analytics. strong background in gcp, spring, typescript, django, pytorch. delivered high-impact solutions using modern engineering practices. technical skills: gcp, spring, typescript, django, pytorch, go, linux. education: master of science, artificial intelligence and data science. expertise includes: managed database structures, system architecture design, agile methodologies, scrum.","['gcp', 'spring', 'typescript', 'django', 'pytorch', 'go', 'linux']","['backend developer', 'healthtech developer']",7.95
40_02c36e,"backend developer, ai systems developer. backend developer with 9.74 years of experience building scalable systems. worked on ml pipelines. strong background in python, linux, pytorch, go, typescript. delivered high-impact solutions using modern engineering practices. technical skills: python, linux, pytorch, go, typescript, node.js, django, tensorflow, flask, kubernetes, vue. education: b.s. information technology, software engineering. expertise includes: restful api development, microservices, agile methodologies, scrum, managed database structures.","['python', 'linux', 'pytorch', 'go', 'typescript', 'node.js', 'django', 'tensorflow', 'flask', 'kubernetes', 'vue']","['backend developer', 'ai systems developer']",9.74
41_da93d3,"game developer, fintech developer. game developer with 6.66 years of experience building scalable systems. worked on distributed systems. strong background in node.js, linux, rest apis, tensorflow, kubernetes. delivered high-impact solutions using modern engineering practices. technical skills: node.js, linux, rest apis, tensorflow, kubernetes, typescript, ci/cd, java, terraform, rust, postgresql. education: master of science, artificial intelligence and data science. expertise includes: system architecture design, developed algorithm optimization, managed database structures.","['node.js', 'linux', 'rest apis', 'tensorflow', 'kubernetes', 'typescript', 'ci/cd', 'java', 'terraform', 'rust', 'postgresql']","['game developer', 'fintech developer']",6.66
42_a28cb6,"mobile app developer, healthtech developer. mobile app developer with 9.32 years of experience building scalable systems. worked on cloud-native apps. strong background in rust, graphql, django, rest apis, node.js. delivered high-impact solutions using modern engineering practices. technical skills: rust, graphql, django, rest apis, node.js, c++, vue, swift, flask. education: m.sc computer science & engineering, big data analytics. expertise includes: front-end and back-end integration, machine learning model training, agile methodologies, scrum.","['rust', 'graphql', 'django', 'rest apis', 'node.js', 'c++', 'vue', 'swift', 'flask']","['mobile app developer', 'healthtech developer']",9.32
43_13b035,"frontend developer, healthtech developer. frontend developer with 0.92 years of experience building scalable systems. worked on ml pipelines. strong background in mongodb, django, git, gcp, azure. delivered high-impact solutions using modern engineering practices. technical skills: mongodb, django, git, gcp, azure, microservices, vue, scikit-learn, sql, terraform, c#. education: bachelor of science in computer science, department of mathematics. expertise includes: front-end and back-end integration, developed algorithm optimization, machine learning model training.","['mongodb', 'django', 'git', 'gcp', 'azure', 'microservices', 'vue', 'scikit-learn', 'sql', 'terraform', 'c#']","['frontend developer', 'healthtech developer']",0.92
44_4f3cad,"devops engineer, e-commerce engineer. devops engineer with 10.28 years of experience building scalable systems. worked on distributed systems. strong background in spring, flask, sql, aws, gcp. delivered high-impact solutions using modern engineering practices. technical skills: spring, flask, sql, aws, gcp, git, terraform. education: b.s. information technology, software engineering. expertise includes: continuous integration deployment (ci/cd), restful api development, microservices, cloud infrastructure provisioning.","['spring', 'flask', 'sql', 'aws', 'gcp', 'git', 'terraform']","['devops engineer', 'e-commerce engineer']",10.28
45_392dfb,"cybersecurity analyst. cybersecurity analyst with 3.02 years of experience building scalable systems. worked on cloud-native apps. strong background in flask, linux, python, c++, rest apis. delivered high-impact solutions using modern engineering practices. technical skills: flask, linux, python, c++, rest apis, postgresql, kotlin, kafka, git, swift. education: bachelor of engineering, information systems. expertise includes: machine learning model training, cloud infrastructure provisioning, data pipeline orchestration.","['flask', 'linux', 'python', 'c++', 'rest apis', 'postgresql', 'kotlin', 'kafka', 'git', 'swift']",['cybersecurity analyst'],3.02
46_e0114e,"full stack developer, fintech developer. full stack developer with 9.23 years of experience building scalable systems. worked on distributed systems. strong background in rest apis, sql, terraform, flask, numpy. delivered high-impact solutions using modern engineering practices. technical skills: rest apis, sql, terraform, flask, numpy, node.js. education: m.sc computer science & engineering, big data analytics. expertise includes: cloud infrastructure provisioning, machine learning model training, data pipeline orchestration.","['rest apis', 'sql', 'terraform', 'flask', 'numpy', 'node.js']","['full stack developer', 'fintech developer']",9.23
47_8c62d4,"ai engineer, ai systems engineer. ai engineer with 3.03 years of experience building scalable systems. worked on cloud-native apps. strong background in java, vue, graphql, pytorch, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: java, vue, graphql, pytorch, scikit-learn, angular, c#, rust, rest apis, node.js, docker, c++. education: m.sc computer science & engineering, big data analytics. expertise includes: cloud infrastructure provisioning, agile methodologies, scrum, system architecture design.","['java', 'vue', 'graphql', 'pytorch', 'scikit-learn', 'angular', 'c#', 'rust', 'rest apis', 'node.js', 'docker', 'c++']","['ai engineer', 'ai systems engineer']",3.03
48_85e586,"blockchain developer, ai systems developer. blockchain developer with 6.1 years of experience building scalable systems. worked on cloud-native apps. strong background in react, numpy, terraform, go, spring. delivered high-impact solutions using modern engineering practices. technical skills: react, numpy, terraform, go, spring, ci/cd, rust, git, python, c#, swift, java. education: bachelor of engineering, information systems. expertise includes: cloud infrastructure provisioning, continuous integration deployment (ci/cd), developed algorithm optimization.","['react', 'numpy', 'terraform', 'go', 'spring', 'ci/cd', 'rust', 'git', 'python', 'c#', 'swift', 'java']","['blockchain developer', 'ai systems developer']",6.1
49_2c1cde,"ai engineer, fintech engineer. ai engineer with 6.06 years of experience building scalable systems. worked on secure platforms. strong background in gcp, vue, flask, redis, typescript. delivered high-impact solutions using modern engineering practices. technical skills: gcp, vue, flask, redis, typescript, django, kubernetes, rest apis, javascript, swift, pandas, react. education: bachelor of engineering, information systems. expertise includes: machine learning model training, managed database structures, cloud infrastructure provisioning.","['gcp', 'vue', 'flask', 'redis', 'typescript', 'django', 'kubernetes', 'rest apis', 'javascript', 'swift', 'pandas', 'react']","['ai engineer', 'fintech engineer']",6.06
50_007e99,"frontend developer, ai systems developer. frontend developer with 10.38 years of experience building scalable systems. worked on real-time analytics. strong background in kafka, scikit-learn, java, rust, linux. delivered high-impact solutions using modern engineering practices. technical skills: kafka, scikit-learn, java, rust, linux, numpy, docker. education: m.sc computer science & engineering, big data analytics. expertise includes: restful api development, microservices, cloud infrastructure provisioning, agile methodologies, scrum.","['kafka', 'scikit-learn', 'java', 'rust', 'linux', 'numpy', 'docker']","['frontend developer', 'ai systems developer']",10.38
51_c52839,"cloud engineer, cloud platforms engineer. cloud engineer with 3.54 years of experience building scalable systems. worked on cloud-native apps. strong background in kafka, terraform, c#, flask, typescript. delivered high-impact solutions using modern engineering practices. technical skills: kafka, terraform, c#, flask, typescript, pandas, gcp, vue, python, scikit-learn, go, numpy. education: bachelor of engineering, information systems. expertise includes: developed algorithm optimization, agile methodologies, scrum, system architecture design.","['kafka', 'terraform', 'c#', 'flask', 'typescript', 'pandas', 'gcp', 'vue', 'python', 'scikit-learn', 'go', 'numpy']","['cloud engineer', 'cloud platforms engineer']",3.54
52_8ed475,"mobile app developer, ai systems developer. mobile app developer with 8.06 years of experience building scalable systems. worked on cloud-native apps. strong background in graphql, pandas, redis, azure, kubernetes. delivered high-impact solutions using modern engineering practices. technical skills: graphql, pandas, redis, azure, kubernetes, mongodb, ci/cd, flask, go, spring. education: master of science, artificial intelligence and data science. expertise includes: front-end and back-end integration, machine learning model training, data pipeline orchestration.","['graphql', 'pandas', 'redis', 'azure', 'kubernetes', 'mongodb', 'ci/cd', 'flask', 'go', 'spring']","['mobile app developer', 'ai systems developer']",8.06
